"no","type","Word","Sub_Type","Type2","Type3","wildcard","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor","at_FPOE","at_Gruene","at_NEOS","at_OEVP","at_PILZ","at_SPOE","de_AfD","de_CDU","de_CSU","de_FDP","de_Gruene","de_Linke","de_Piraten","de_SPD","ch_BDP","ch_CVP","ch_EDU","ch_EVP","ch_FDP","ch_Gruene","ch_Gruenliberale","ch_SP","ch_SVP","at_mean","de_mean","ch_mean","at_FPOE_meandv","at_Gruene_meandv","at_NEOS_meandv","at_OEVP_meandv","at_PILZ_meandv","at_SPOE_meandv","de_AfD_meandv","de_CDU_meandv","de_CSU_meandv","de_FDP_meandv","de_Gruene_meandv","de_Linke_meandv","de_Piraten_meandv","de_SPD_meandv","ch_BDP_meandv","ch_CVP_meandv","ch_EDU_meandv","ch_EVP_meandv","ch_FDP_meandv","ch_Gruene_meandv","ch_Gruenliberale_meandv","ch_SP_meandv","ch_SVP_meandv"
8187,,"(nimmt|nehmen) (.* )?expert(e|en|in|innen) sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenexperteenininnensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.54,4,"(nimmt|nehmen) (.* )?expert(e|en|in|innen) sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8188,,"(nimmt|nehmen) (.* )?fachfrau(en)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenfachfrauensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) (.* )?fachfrau(en)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8189,,"(nimmt|nehmen) (.* )?fachm(a|ä)nn(er)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenfachmaännersichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) (.* )?fachm(a|ä)nn(er)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8190,,"(nimmt|nehmen) (.* )?forscher(innen|in)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenforscherinneninsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) (.* )?forscher(innen|in)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8191,,"(nimmt|nehmen) (.* )?forschung sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenforschungsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.50,4,"(nimmt|nehmen) (.* )?forschung sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8192,,"(nimmt|nehmen) (.* )?gelehrte(n|r)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmengelehrtenrsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) (.* )?gelehrte(n|r)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8193,,"(nimmt|nehmen) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmengroßssunternehmerrinrinnennsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8194,,"(nimmt|nehmen) (.* )?herrschende(n|r)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenherrschendenrsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) (.* )?herrschende(n|r)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8195,,"(nimmt|nehmen) (.* )?intellektuelle(n|r)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenintellektuellenrsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.57,4,"(nimmt|nehmen) (.* )?intellektuelle(n|r)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8196,,"(nimmt|nehmen) (.* )?journalismus sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenjournalismussichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.52,4,"(nimmt|nehmen) (.* )?journalismus sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8197,,"(nimmt|nehmen) (.* )?journalist(en|in|innen)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenjournalistenininnensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.55,4,"(nimmt|nehmen) (.* )?journalist(en|in|innen)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8198,,"(nimmt|nehmen) (.* )?konglomerat(e)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenkonglomeratesichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.57,4,"(nimmt|nehmen) (.* )?konglomerat(e)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,,"(nimmt|nehmen) (.* )?leistungsträger(innen|in)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenleistungsträgerinneninsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.55,4,"(nimmt|nehmen) (.* )?leistungsträger(innen|in)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8200,,"(nimmt|nehmen) (.* )?medienvertreter(innen|in)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,1,0,0,"never appeared term","nimmtnehmenmedienvertreterinneninsichheraus",TRUE,FALSE,FALSE,2019-04-18,0,1.56,4,"(nimmt|nehmen) (.* )?medienvertreter(innen|in)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,,"(nimmt|nehmen) (.* )?partei sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenparteisichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.50,4,"(nimmt|nehmen) (.* )?partei sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8202,,"(nimmt|nehmen) (.* )?politiker(innen|in)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenpolitikerinneninsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.57,4,"(nimmt|nehmen) (.* )?politiker(innen|in)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8203,,"(nimmt|nehmen) (.* )?regent(en|in|innen)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenregentenininnensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.55,4,"(nimmt|nehmen) (.* )?regent(en|in|innen)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
