version	doi	v1	v2	v3	v4	v5	v6
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	98	"abschreiben"	1.75	0.9653073	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	99	"abschwung"	1.0	1.4142135	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	100	"absehbar"	1.59375	1.1319232	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	101	"absehen"	1.6818181	1.073415	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	102	"abseitig"	0.75	1.1649648	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	103	"abseits"	1.8684211	1.5098068	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	104	"absenken"	1.0555556	0.9983647	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	105	"absetzen"	2.2307692	1.3008872	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	106	"absetzung"	2.5	0.9718253	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	107	"absichtlich"	1.9047619	1.4458479	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	108	"abspenstig"	1.7692307	1.4806443	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	109	"absprechen"	1.9111111	1.3787712	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	110	"absprengt"	1.0	1.3333334	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	111	"absprung"	1.5	1.3445045	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	112	"abstand"	1.038961	1.1747515	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	113	"abstechen"	1.9166666	1.5050421	3	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	114	"abstellen"	1.6481482	1.3480581	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	115	"abstottern"	2.5454545	0.93419874	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	116	"absto��en"	2.9	0.96790606	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	117	"abstrafen"	2.387097	1.1612611	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	118	"abstrafung"	2.55	1.145931	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	119	"abstrus"	2.85	0.92125887	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	120	"absturz"	1.4736842	1.297047	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	121	"abst��rz"	2.317073	1.2336739	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	122	"absurd"	2.3669724	1.1043321	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	123	"absurdit��t"	3.2	0.615587	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	124	"abtauchen"	1.826087	1.2828796	2	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	125	"abtragen"	0.6	0.9660918	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	126	"abtun"	2.85	0.48936048	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	127	"abwandern"	2.4545455	1.1281521	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	128	"abwanderung"	1.7586207	1.50369	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	129	"abwarten"	0.22222222	0.54831886	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	130	"abwatschen"	2.4	1.3138933	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	131	"abwehr"	0.9166667	1.2688298	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	132	"abwehrkampf"	1.8421053	1.1672931	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	133	"abweisen"	1.8695652	1.3916749	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	134	"abwendbar"	2.2	1.1352924	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	135	"abwerten"	2.3448277	0.98322284	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	136	"abwertend"	2.142857	0.8482787	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	137	"abwertung"	1.5362319	1.2900035	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	138	"abwesenheit"	2.4375	0.9816872	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	139	"abwicklungsbank"	2.5	0.9718253	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	140	"abwimmeln"	2.090909	1.2210279	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	141	"abw��hlen"	2.2307692	1.3950104	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	142	"abw��rts"	2.090909	1.3751034	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	143	"abw��rgen"	2.1570249	1.1402358	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	144	"abzeichnen"	1.1111112	1.3642255	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	145	"abzocke"	2.7	0.9466797	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	146	"abzockerei"	2.8947368	0.7374684	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	147	"abzug"	1.9354838	1.0625592	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	148	"abzuzock"	1.9	1.3703203	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	149	"ach"	1.2727273	1.2814232	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	150	"achtung"	0.6	1.0699662	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	151	"adel"	2.2	1.3984118	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	152	"aderlass"	1.7	1.055364	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	153	"affe"	1.8	0.9189366	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	154	"affenartig"	2.0	1.2909944	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	155	"affig"	2.7	0.9486833	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	156	"affront"	2.5352113	0.9352208	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	157	"aff��re"	1.7162162	1.3836826	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	158	"aggression"	1.0769231	1.4978617	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	159	"aggressiv"	1.6594203	1.4064314	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	160	"agierend"	1.3658537	1.2197561	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	161	"agitation"	1.9302325	1.145741	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	162	"agitationsorgan"	1.75	1.2817398	1	1
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	163	"agitieren"	1.6842105	1.1081833	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	164	"ahnden"	2.5	1.1002392	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	165	"ahnungslos"	2.0681818	1.2757279	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	166	"ahnungslosigkeit"	2.1612904	1.0588201	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	167	"aktenkundig"	2.6	0.84327406	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	168	"akut"	1.7321428	1.2430326	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	169	"alarm"	1.483871	1.4569442	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	170	"alarmglocke"	2.7333333	0.82768196	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	171	"alarmieren"	1.5227273	1.5017607	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	172	"alarmierend"	2.580645	0.92282873	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	173	"alarmruf"	1.0	1.1547005	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	174	"alibiaktion"	2.16	1.0372648	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	175	"alibihandlung"	2.5	0.8498366	2	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	176	"alibiwerbeaktion"	1.7	1.4181365	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	177	"alkoholiker"	2.5789473	1.1697953	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	178	"alkoholisiert"	3.0	1.1881771	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	179	"alkoholkonsum"	2.0	0.8164966	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	180	"alkoholselig"	1.7	1.0593499	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	181	"alkoholsucht"	3.3	0.4830459	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	182	"alkos��nder"	2.909091	1.0444659	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	183	"allein"	1.7950311	1.3269533	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	184	"alleingang"	1.5454545	1.201325	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	185	"allergie"	2.9	1.197219	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	186	"allerletzt"	1.0147059	1.2517766	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	187	"allmacht"	1.948718	1.1909465	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	188	"allmachtsanspruch"	2.4	0.9660918	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	189	"allm��chtig"	1.325	1.3085028	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	190	"alltag"	1.2134831	1.3269233	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	191	"alphafischchen"	2.75	0.8864053	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	192	"alt"	1.7507887	1.4014792	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	193	"altern"	0.2	0.6324555	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	194	"altlast"	2.5	1.1002392	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	195	"altmodisch"	2.0	1.286535	2	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	196	"altpartei"	0.9148936	1.194731	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	197	"altsaurier"	1.7	1.4181365	0	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	198	"altsozialistisch"	2.5	0.8498366	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	199	"amateur"	2.1	1.197219	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	200	"amoklauf"	1.3333334	1.6696942	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	201	"amt"	1.8565217	1.4601927	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	202	"amtsbekannt"	2.1	0.87559503	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	203	"amtsgewalt"	2.5	0.8498366	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	204	"amtsmissbrauch"	2.4682539	1.1844763	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	205	"amtsschimmel"	3.1	0.5676462	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	206	"am��sieren"	1.9333333	1.3373502	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	207	"anbetracht"	2.0625	1.3663585	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	208	"anbiedern"	2.3809524	1.0235326	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	209	"andersdenkende"	3.2	0.61025715	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	210	"andeuten"	1.85	1.2680279	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	211	"andichten"	2.7	1.2516656	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	212	"andienen"	1.8888888	1.2692956	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	213	"androhen"	2.4615386	0.91324043	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	214	"androhung"	2.075	1.1851106	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	215	"and��chtig"	2.5	0.8498366	3	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	216	"anfahren"	1.5	1.3008872	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	217	"anfechten"	1.65	1.5652475	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	218	"anf��ngerplatz"	2.3	0.9486833	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	219	"anf��tterung"	2.1818182	1.1677485	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	220	"anf��tterungsverbot"	2.4545455	1.2135597	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	221	"angeben"	1.9245284	1.3423438	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	222	"angegrifen"	2.5	1.5811388	4	4
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	223	"angehaucht"	2.2	0.9189366	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	224	"angeklagt"	1.7894737	1.3723916	3	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	225	"angek��ndigt"	1.3380282	1.3516515	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	226	"angepatzt"	1.5652174	1.1211231	2	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	227	"angeschlagen"	2.2424242	1.1734113	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	228	"angesch��ttet"	1.6	1.1737878	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	229	"angespannt"	2.7	0.8232726	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	230	"angezeigt"	0.8636364	1.3200092	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	231	"angreifen"	1.8461539	1.3286016	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	232	"angriff"	1.1849711	1.3339942	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	233	"angriffig"	0.6666667	1.0613372	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	234	"angriffslustig"	0.45	0.99868333	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	235	"angst"	1.8095238	1.404676	3	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	236	"angstmache"	2.46875	1.0155048	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	237	"anhaltung"	1.9	1.552587	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	238	"anheizen"	1.75	1.356801	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	239	"anh��ngen"	2.7777777	1.0127394	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	240	"anh��ngsel"	1.9693878	1.1617094	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	241	"anh��ngseldasein"	1.8888888	0.78173596	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	242	"anklage"	1.0208334	1.279787	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	243	"anklagebank"	2.25	1.4222262	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	244	"anklageerhebung"	1.0	0.94280905	2	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	245	"anklageschrift"	0.8095238	1.1670067	0	0
